geometry,method,omega,sweeps,relC,converged
rand100x10,P,1.8,37,0.7608564819671918,1
rand100x10,CN,1.8,24,0.6265649270940299,1
rand100x10,P,0.6,9,0.8061864407900605,1
rand100x10,CN,0.6,19,0.6639028891564005,1
rand100x10,P,0.8,7,0.8081936586922177,1
rand100x10,CN,0.8,17,0.6565850240934457,1
rand100x10,P,1.0,6,0.8086110713982687,1
rand100x10,CN,1.0,15,0.6530938519358713,1
rand100x10,P,1.2,5,0.8086500961599636,1
rand100x10,CN,1.2,41,0.6184661077606727,1
rand100x10,P,1.4,5,0.8066688993131034,1
rand100x10,CN,1.4,46,0.6101679099312453,1
rand100x10,P,1.6,8,0.7952448599558466,1
rand100x10,CN,1.6,51,0.5992746686074882,1
rand100x10,P,1.8,8,0.7920564349665985,1
rand100x10,CN,1.8,61,0.5726183852393677,1
rand100x10,P,0.6,10,0.80163321271398,1
rand100x10,CN,0.6,130,0.6126808544985992,1
rand100x10,P,0.8,17,0.7883652158219361,1
rand100x10,CN,0.8,128,0.598164231747588,1
rand100x10,P,1.0,32,0.7328729056623496,1
rand100x10,CN,1.0,120,0.5907345129782938,1
rand100x10,P,1.2,37,0.7111314248131325,1
rand100x10,CN,1.2,112,0.5866867960151778,1
rand100x10,P,1.4,39,0.6981416763046063,1
rand100x10,CN,1.4,104,0.5843774688060835,1
rand100x10,P,1.6,40,0.6886333970569862,1
rand100x10,CN,1.6,98,0.5825689301145135,1
rand100x10,P,1.8,40,0.682158992007585,1
rand100x10,CN,1.8,92,0.5814445428116464,1
rand100x10,P,0.6,8,0.7685276416401332,1
rand100x10,CN,0.6,16,0.5515384897486783,1
rand100x10,P,0.8,6,0.7713905212733234,1
rand100x10,CN,0.8,19,0.6055608833633495,1
rand100x10,P,1.0,5,0.7740365553818499,1
rand100x10,CN,1.0,77,0.6532060611692561,1
rand100x10,P,1.2,4,0.7737706552070098,1
rand100x10,CN,1.2,88,0.641279826728764,1
rand100x10,P,1.4,4,0.775687287392272,1
rand100x10,CN,1.4,91,0.6297612812979659,1
rand100x10,P,1.6,6,0.7882488616652935,1
rand100x10,CN,1.6,94,0.6226186591056717,1
rand100x10,P,1.8,8,0.8012242517882748,1
rand100x10,CN,1.8,92,0.6166698710187755,1
aniso50x5,P,0.6,442,0.6003156328428083,1
aniso50x5,CN,0.6,394,0.5561736012890182,1
aniso50x5,P,0.8,360,0.5983603989181233,1
aniso50x5,CN,0.8,317,0.5530842101238975,1
aniso50x5,P,1.0,306,0.5971645181458581,1
aniso50x5,CN,1.0,267,0.5510251606646399,1
aniso50x5,P,1.2,267,0.5963823461110995,1
aniso50x5,CN,1.2,230,0.5497764052269066,1
aniso50x5,P,1.4,238,0.5957959026609708,1
aniso50x5,CN,1.4,203,0.5487271745117398,1
aniso50x5,P,1.6,214,0.595425695371583,1
aniso50x5,CN,1.6,182,0.5478881098784462,1
aniso50x5,P,1.8,196,0.5950583548497512,1
aniso50x5,CN,1.8,165,0.5472304306243001,1
aniso50x5,P,0.6,345,0.7345844723227668,1
aniso50x5,CN,0.6,347,0.8051702597108988,1
aniso50x5,P,0.8,282,0.731498752838257,1
aniso50x5,CN,0.8,285,0.8000172412360349,1
aniso50x5,P,1.0,240,0.7295814503771194,1
aniso50x5,CN,1.0,244,0.7967445654332849,1
aniso50x5,P,1.2,210,0.7282391550365525,1
aniso50x5,CN,1.2,214,0.7945952101643928,1
aniso50x5,P,1.4,187,0.7273065719563363,1
aniso50x5,CN,1.4,191,0.7930823163547466,1
aniso50x5,P,1.6,169,0.7265923264989902,1
aniso50x5,CN,1.6,173,0.7919171194695444,1
aniso50x5,P,1.8,154,0.7260855671133111,1
aniso50x5,CN,1.8,158,0.7911165685947922,1
aniso50x5,P,0.6,419,0.5997954512546699,1
aniso50x5,CN,0.6,421,0.5123063890159569,1
aniso50x5,P,0.8,342,0.5973376833901373,1
aniso50x5,CN,0.8,344,0.5098716525771446,1
aniso50x5,P,1.0,291,0.5958422686657445,1
aniso50x5,CN,1.0,292,0.5084613959557682,1
aniso50x5,P,1.2,254,0.5948693726171166,1
aniso50x5,CN,1.2,256,0.5074211859431589,1
aniso50x5,P,1.4,226,0.5941732625531133,1
