tag,sweep,chords,x,y
wedge_narrow_P,0,0,3.5,1.5
wedge_narrow_P,1,3,3.432359850532425,1.514133893427766
wedge_narrow_P,2,6,3.397408693572333,1.543259857561176
wedge_narrow_P,3,9,3.3598307571890795,1.5729347060586427
wedge_narrow_P,4,12,3.320895505947105,1.6037406502717104
wedge_narrow_P,5,15,3.2805009298687224,1.6356990059154468
wedge_narrow_P,6,18,3.2385943181487407,1.6688536986608442
wedge_narrow_P,7,21,3.195118998463368,1.7032494819665642
wedge_narrow_P,8,24,3.1500162514847836,1.73893281512796
wedge_narrow_P,9,27,3.103225157037073,1.775951895423893
wedge_narrow_P,10,30,3.054682514601607,1.814356724362252
wedge_narrow_P,11,33,3.0043227578479446,1.854199175173879
wedge_narrow_P,12,36,2.952077866077594,1.8955330628791174
wedge_narrow_P,13,39,2.8978772723486106,1.938414216975458
wedge_narrow_P,14,42,2.841647768161151,1.9829005568461948
wedge_narrow_P,15,45,2.783313404575079,2.029052169991877
wedge_narrow_P,16,48,2.7227953896260684,2.0769313931902285
wedge_narrow_P,17,51,2.6600119819016537,2.1266028966941537
wedge_narrow_P,18,54,2.594878380133465,2.178133771581559
wedge_narrow_P,19,57,2.5273066086565383,2.2315936203749756
wedge_narrow_P,20,60,2.4572053985809705,2.2870546510533702
wedge_narrow_P,21,63,2.384480064515446,2.344591774583144
wedge_narrow_P,22,66,2.3090323766760945,2.4042827061000396
wedge_narrow_P,23,69,2.2307604282079665,2.4662080698786255
wedge_narrow_P,24,72,2.149558497539895,2.530451508231146
wedge_narrow_P,25,75,2.0653169055868434,2.5970997944828174
wedge_narrow_P,26,78,1.9779218676068566,2.6662429501761724
wedge_narrow_P,27,81,1.9107411605642743,2.735520624164808
wedge_narrow_P,28,84,1.854743069167376,2.798530545348934
wedge_narrow_P,29,87,1.8057358407988418,2.854331391917766
wedge_narrow_P,30,90,1.7625558060404822,2.903575389834394
wedge_narrow_P,31,93,1.7244754916632585,2.947012719551145
wedge_narrow_P,32,96,1.6908885165473253,2.9853256905113548
wedge_narrow_P,33,99,1.6612642008556149,3.0191185479488656
wedge_narrow_P,34,102,1.6351349651192812,3.048924535584266
wedge_narrow_P,35,105,1.612088452718659,3.075214019031448
wedge_narrow_P,36,108,1.5917609636226404,3.0984018742559294
wedge_narrow_P,37,111,1.5738317078672168,3.1188540307068155
wedge_narrow_P,38,114,1.5580177423228767,3.136893245601533
wedge_narrow_P,39,117,1.544069505448335,3.1528041973284897
wedge_narrow_P,40,120,1.5317668789271597,3.166837977974346
wedge_narrow_P,41,123,1.520915713960494,3.1792160558288707
wedge_narrow_P,42,126,1.5113447673881382,3.190133770394823
wedge_narrow_P,43,129,1.5029029992856084,3.1997634150573053
wedge_narrow_P,44,132,1.4954571893901978,3.2082569560603695
wedge_narrow_P,45,135,1.488889834740645,3.2157484306992834
wedge_narrow_P,46,138,1.4830972953528763,3.222356062574521
wedge_narrow_P,47,141,1.4779881586685744,3.2281841272884915
wedge_narrow_P,48,144,1.4734817969657958,3.2333245980277163
wedge_narrow_P,49,147,1.4695070949660105,3.2378585969995335
