polytope,kind,x,y
wedge,vertex,0.19999999999999996,2.8
wedge,vertex,4.4,0.75
wedge,vertex,0.5499999999999999,6.15
wedge,chebyshev,1.2755485216159212,3.3964161152015024
wedge,analytic,1.7166666666666668,3.233333333333333
wedge,centroid,1.7166666666666666,3.233333333333334
rand,vertex,0.0,0.0
rand,vertex,1.1542549105211823,0.0
rand,vertex,5.551115123125783e-17,1.3844406803104878
rand,chebyshev,0.3681013813091229,0.368101381309123
rand,analytic,0.08630019296472907,0.09090085966441858
rand,centroid,0.3847516368403941,0.4614802267701626
